530
Dataset measured at BL04B2
20.4 0.868679 0.101479 0.43351 0.465011 
20.45 0.949387 0.101191 0.433179 0.465629 
20.5 1.01905 0.100904 0.432846 0.46625 
20.55 1.03413 0.100615 0.432511 0.466874 
20.6 0.946262 0.100326 0.432174 0.467501 
20.65 1.02622 0.100035 0.431834 0.46813 
20.7 1.01204 0.0997447 0.431492 0.468763 
20.75 1.03912 0.0994532 0.431149 0.469398 
20.8 1.06712 0.0991612 0.430803 0.470036 
20.85 1.11419 0.0988685 0.430455 0.470676 
20.9 1.20617 0.0985753 0.430105 0.47132 
20.95 1.2107 0.0982815 0.429753 0.471965 
21 1.10264 0.0979872 0.429399 0.472614 
21.05 1.25423 0.0976924 0.429043 0.473264 
21.1 1.18397 0.0973971 0.428685 0.473918 
21.15 1.16698 0.0971013 0.428325 0.474574 
21.2 1.06839 0.0968052 0.427963 0.475232 
21.25 1.19924 0.0965086 0.427599 0.475892 
21.3 1.07675 0.0962117 0.427233 0.476555 
21.35 1.10822 0.0959144 0.426866 0.47722 
21.4 1.10751 0.0956168 0.426496 0.477887 
21.45 1.10764 0.0953189 0.426125 0.478556 
21.5 1.12583 0.0950207 0.425751 0.479228 
21.55 1.14127 0.0947223 0.425376 0.479902 
21.6 1.10866 0.0944237 0.424999 0.480577 
21.65 1.05389 0.0941248 0.42462 0.481255 
21.7 1.00701 0.0938257 0.42424 0.481934 
21.75 0.949444 0.0935265 0.423858 0.482616 
21.8 0.843681 0.0932272 0.423474 0.483299 
21.85 0.810062 0.0929277 0.423088 0.483984 
21.9 0.795379 0.0926282 0.4227 0.484671 
21.95 0.797917 0.0923286 0.422311 0.48536 
22 0.788083 0.092029 0.42192 0.486051 
22.05 0.763476 0.0917293 0.421528 0.486743 
22.1 0.724355 0.0914296 0.421134 0.487437 
22.15 0.71795 0.0911299 0.420738 0.488132 
22.2 0.656093 0.0908303 0.420341 0.488829 
22.25 0.76489 0.0905307 0.419942 0.489527 
22.3 0.754743 0.0902312 0.419542 0.490227 
22.35 0.888297 0.0899317 0.41914 0.490928 
22.4 0.850686 0.0896325 0.418736 0.491631 
22.45 0.937089 0.0893333 0.418332 0.492335 
22.5 0.957282 0.0890343 0.417925 0.49304 
